0	12
1	20
2	55
3	40
4	64
5	75
6	110
7	66
8	39
9	12
10	2
11	0
12	0
13	0
14	2
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	1
23	0
24	13
25	10
26	3
27	31
28	35
29	20
30	32
31	58
32	33
33	22
34	2
35	9
36	6
37	3
38	2
39	2
40	3
41	0
42	0
43	1
44	0
45	0
46	0
47	1
48	8
49	32
50	47
51	42
52	28
53	50
54	59
55	72
56	73
57	39
58	35
59	22
60	2
61	1
62	3
63	1
64	1
65	0
66	0
67	0
68	0
69	0
70	0
71	11
72	19
73	38
74	35
75	86
76	27
77	59
78	70
79	97
80	44
81	16
82	10
83	14
84	12
85	2
86	4
87	1
88	3
89	0
90	0
91	0
92	0
93	0
94	1
95	2
96	1
97	1
98	6
99	3
100	4
101	1
102	2
103	5
104	4
105	1
106	2
107	4
108	2
109	4
110	4
111	4
112	0
113	1
114	1
115	1
116	0
117	0
118	0
119	0
120	1
121	2
122	3
123	3
124	9
125	4
126	4
127	12
128	7
129	8
130	8
131	5
132	4
133	3
134	1
135	0
136	0
137	0
138	1
139	0
140	0
141	0
142	0
143	0
144	10
145	23
146	16
147	80
148	27
149	41
150	57
151	35
152	30
153	13
154	14
155	49
156	76
157	9
158	5
159	1
160	2
161	1
162	1
163	0
164	1
165	23
166	0
167	0
168	9
169	44
170	40
171	72
172	71
173	77
174	48
175	79
176	264
177	405
178	80
179	8
180	0
181	1
182	1
183	1
184	1
185	1
186	0
187	0
188	0
189	0
190	0
191	3
192	9
193	31
194	33
195	55
196	29
197	71
198	66
199	77
200	83
201	6
202	8
203	7
204	2
205	4
206	0
207	0
208	1
209	1
210	1
211	1
212	0
213	0
214	0
215	1
216	5
217	28
218	17
219	76
220	82
221	69
222	88
223	63
224	38
225	29
226	22
227	7
228	6
229	4
230	4
231	5
232	1
233	0
234	0
235	0
236	1
237	0
238	0
239	0
240	20
241	32
242	63
243	86
244	33
245	47
246	74
247	63
248	65
249	16
250	15
251	9
252	5
253	3
254	5
255	2
256	1
257	3
258	0
259	1
260	0
261	0
262	0
263	0
264	0
265	1
266	4
267	0
268	2
269	4
270	3
271	1
272	1
273	1
274	0
275	1
276	3
277	1
278	1
279	2
280	0
281	0
282	1
283	0
284	1
285	1
286	0
287	1
288	0
289	2
290	2
291	3
292	1
293	6
294	6
295	11
296	10
297	3
298	14
299	3
300	8
301	2
302	0
303	1
304	3
305	2
306	2
307	3
308	1
309	1
310	2
311	1
312	22
313	41
314	49
315	65
316	100
317	112
318	132
319	93
320	74
321	31
322	31
323	4
324	10
325	6
326	5
327	1
328	2
329	2
330	1
331	0
332	1
333	0
334	0
335	2
336	17
337	66
338	20
339	74
340	79
341	94
342	63
343	29
344	31
345	21
346	6
347	2
348	14
349	3
350	2
351	0
352	0
353	0
354	0
355	0
356	0
357	2
358	0
359	3
360	9
361	14
362	29
363	58
364	89
365	83
366	77
367	82
368	71
369	26
370	23
371	9
372	5
373	6
374	0
375	2
376	0
377	1
378	1
379	1
380	1
381	2
382	3
383	4
384	32
385	48
386	56
387	95
388	69
389	111
390	133
391	57
392	48
393	36
394	25
395	49
396	35
397	20
398	9
399	0
400	1
401	0
402	1
403	1
404	1
