Contact	NrofDelivered
16000	0.9579563597658328
32000	1.0633317728883838
10500	1.0807504078303425
26500	1.0726671505766594
42500	1.0457186158120737
5000	1.293103448275862
21000	1.0353227771010962
37000	1.0545222782316472
15500	0.9789052805735557
31500	1.0726408689748812
10000	1.0461144321093083
26000	1.0815239655878737
42000	1.0376731585135204
4500	1.2993262752646775
20500	1.0163866417755651
36500	1.0512715099547776
15000	0.9981462997290746
31000	1.0619957244327978
9500	1.0386091668548205
25500	1.092577147623019
41500	1.0303940351058871
4000	1.1284255776464267
20000	1.023563279667342
36000	1.0476190476190477
14500	0.9864546525323912
30500	1.0712035286704475
9000	1.0503700167104322
25000	1.097872340425532
41000	1.0373552679834441
3500	1.1649294911097487
19500	1.027097902097902
35500	1.0565718770754091
14000	0.992517941670484
30000	1.0468594217347957
8500	1.1150532184490625
24500	1.0759219088937093
40500	1.0346474239932084
3000	1.2039660056657222
19000	0.9757738896366084
35000	1.0594647559556616
13500	1.0173263392147514
29500	1.0511054729974627
8000	1.1314655172413792
24000	1.0553387726144023
40000	1.0420023633043292
2500	1.2701100762066047
18500	0.9885057471264367
34500	1.062771908017402
13000	0.991571641051066
29000	1.055662188099808
7500	1.2082853855005753
23500	1.0533962949509625
39500	1.026002931436947
2000	1.2244897959183674
18000	0.9576732087964057
34000	1.053494827151148
12500	1.0146173688736029
28500	1.0582407685379764
7000	1.2654320987654322
23000	1.0473630549633886
39000	1.0335349092908193
1500	1.2413793103448276
17500	0.9502923976608186
33500	1.0617204988807163
12000	1.0554561717352415
28000	1.0604211168751907
6500	1.257445400397088
22500	1.06171201061712
38500	1.0405074560427332
1000	1.2096774193548387
17000	0.9767092411720512
33000	1.0721247563352825
11500	1.0818877075172544
27500	1.063664596273292
43500	1.0419238556120685
6000	1.2553802008608321
22000	1.0555878365291498
38000	1.0437824418867072
500	0.7352941176470588
16500	0.9552084677939847
32500	1.0872430152872958
11000	1.0522213561964147
27000	1.0845471817606078
43000	1.0444255659387338
5500	1.2860483242400622
21500	1.0410469958358122
37500	1.0523305690591935

