# Scenario DistanceDelayReport
# distance at msg send, delivery time, hop count, MSG_ID
1489.6904| 323.6000| 1| M668
1131.0977| 1449.8000| 3| M636
540.6871| 2129.0000| 3| M616
985.6803| 445.5000| 1| M678
1502.8465| 271.1000| 1| M687
562.8292| 5992.4000| 9| M509
1851.9476| 12849.3000| 14| M281
688.5195| 2367.3000| 4| M642
698.7818| 2742.3000| 1| M631
850.4452| 2921.0000| 2| M639
2294.1458| 899.9000| 2| M712
510.8720| 2503.2000| 2| M658
1376.0128| 12344.2000| 11| M330
328.1328| 380.8000| 1| M739
1647.7581| 5143.3000| 6| M585
1323.4009| 1505.7000| 3| M710
759.3354| 3589.8000| 1| M646
480.1149| 5013.1000| 7| M602
1038.8796| 15381.5000| 7| M258
574.3935| 13618.9000| 5| M321
919.2548| 1138.5000| 2| M742
1491.7115| 14555.8000| 5| M291
690.8043| 11522.0000| 3| M400
672.5135| 1761.9000| 2| M730
1941.0427| 3853.8000| 4| M674
1468.9159| 3925.3000| 2| M676
1606.2748| 14614.9000| 14| M316
2598.2413| 6072.4000| 5| M608
561.0088| 3987.6000| 8| M684
998.0826| 9204.2000| 5| M514
744.2845| 2989.4000| 4| M722
1212.4059| 4092.3000| 1| M689
1990.9641| 4107.0000| 2| M690
1283.8905| 1032.1000| 3| M798
1293.1052| 7185.7000| 8| M593
314.1809| 14314.7000| 13| M358
1675.1255| 718.1000| 1| M832
1580.2053| 6054.1000| 10| M652
923.5357| 1993.9000| 1| M789
424.6190| 104.7000| 2| M860
133.0696| 15.1000| 1| M864
2244.2642| 7164.8000| 8| M622
1651.3158| 5383.3000| 4| M682
1240.7981| 3849.2000| 2| M738
358.0476| 423.7000| 1| M867
1839.5177| 8373.6000| 9| M605
1866.8076| 15703.2000| 3| M362
1486.2985| 7246.3000| 3| M648
963.6024| 4651.2000| 10| M740
1457.8471| 1041.9000| 4| M870
2179.2309| 925.5000| 2| M889
579.5606| 3690.2000| 5| M797
2409.7370| 1551.0000| 2| M876
895.7405| 2353.1000| 3| M852
465.4367| 2605.4000| 4| M848
